id,name,short_description,long_description,address,point_of_contact,phone_1,phone_2,phone_3,email_1,email_2,email_3,website,hours,extra_info,categories,lat,lon
00000000,Bienvenidos,Mental Health and Foster Care Services.,,"255 N San Gabriel Blvd, Pasadena, CA 91107",,(626) 696-1270,,,,,,,",,,,,,",,"mental_health,foster_care",34.1510286,-118.0946866
00000001,Casa de las Amigas,A 24-hour alcohol and drug residential treatment center for women.,,"160 N El Molino Ave, Pasadena, CA 91101",Flora Esquivel,(626) 792-2770,,,,,,,,,"alcohol treatment,substance abuse recovery",34.1487732,-118.1367094
00000002,Elizabeth House,"Shelter and support services for pregnant, homeless women and children.",,"760 Santa Barbara St, Pasadena, CA 91101",Terry Bright,(626) 577-4434,,,contact@elizabethhouse.net,,,,,,"women shelters,family shelters",34.155311,-118.1348027
00000003,Food For Faith Pasadena Church,Community meals program.,,"404 E Washington Blvd, Pasadena, CA 91104",Maria Edwards,(626) 794-2951,,,,,,,,,free food,34.1685682,-118.1423209
00000004,"Foothill Unity Center, Inc.","Provides food and clothing to low income residents of Pasadena, Altadena, and So. Pasadena.  Call for an appointment.",,"191 N Oak Ave, Pasadena, CA 91107",Tashera Taylor,(626) 584-7420,,,,,,,,,"free food,free clothing",34.1495915,-118.107847
00000005,Villa Parke Community Center-Free Meal Program,,,"363 E Villa St, Pasadena, CA 91101",,(626) 744-6530,,,,,,,,,free food,34.154688,-118.1428055
00000006,Friends In Deed,Food Distribution. Call for qualification information.,,"444 E Washington Blvd, Pasadena, CA 91104",Tim Nistler,(626) 797 2402,,,,,,www.ecpac.net,,,free food,34.1687151,-118.1413359
00000007,Haven House,Emergency shelter for battered women and their children,,,Terese Trinidad,(323) 681-2626,(626) 564-8880,,,,,www.jfsla.org/havenhouse,,,"women shelters,family shelters",,
00000008,L.A. County Dept. of Public Social Services,Provides temporary financial assistance and employment focused services to families,,"955 N Lake Ave, Pasadena, CA 91104",,(626) 791-6333,,,,,,www.ladpss.org,,,"financial aid,employment",34.1623786,-118.1328372
00000009,Lake Avenue Community Foundation,Tutoring/mentoring.,,"712 E Villa St, Pasadena, CA 91101",Nancy Stiles,(626) 449-4960,,,,,,,,,"tutoring,mentoring",34.1539265,-118.1357581
00000010,"Meals On Wheels, Pasadena",Food delivery program for adults in Pasadena only.,,"54 N Oakland Ave, Pasadena, CA 91101",Barbra Walker,(626) 449-6815,,,,,,,,,free food,34.146721,-118.1392757
00000011,Passageways,Mental Illness Services,,"1020 S Arroyo Pkwy, Pasadena, CA 91105",,(626) 403-4888,,,,,,,,,mental health,34.128338,-118.1468988
00000012,Salvation Army Social Services,Food for low income families with proof of low income status.,,"1000 E Walnut St #102, Pasadena, CA 91106",,(626) 773-4404,(626) 773-4425,,,,,pasadenatab.org,,,free food,34.1493046,-118.1297902
00000013,WIC Program,Federally funded supplemental nutrition program,,"363 E Villa St #115, Pasadena, CA 91101",,(626) 744-6520,,,,,,www.cityofpasadena.net/publichealth,,,free food,34.154688,-118.1428055
00000014,Union Station Homeless Services,This intake center is the entry point into Pasadena’s homeless services,,"825 E Orange Grove Blvd, Pasadena, CA 91104",,(626) 791-6610,,,info@unionstationhs.org,,,unionstationhs.org,,,"homeless shelters,family shelters,women shelters,veterans services,substance abuse recovery,alcohol treatment,mental health",34.1581873,-118.1334783
00000015,Ability First-Lawrence L. Frank Center,Providing programs and services to the disabled community,,"201 S Kinneloa Ave, Pasadena, CA 91107",Michael Barkyounb,(626) 449-5661,,,,,,www.abilityfirst.org,,,disabled services,34.1426163,-118.0860229
00000016,Aspires West Pasadena,"Mentoring, tutoring, sharing employment skills, training, and counseling.",,"119 E Washington Blvd, Pasadena, CA 91103",,(626) 797-0789,,,aspireswestpas@gmail.com,,,,,,"tutoring,mentoring,employment",34.169322,-118.14824
00000017,Boys & Girls Club of Pasadena,After–School Programs,,"3301 Thorndale Rd, Pasadena, CA 91107",,(626) 449-9100,,,info@bgcpasadena.org,,,www.bgcpasadena.org,,,after school programs,34.1404814,-118.0830613
00000018,Boys & Girls Club of Pasadena-Performing Arts Center,$60.00 per month for a 30-minute private lesson once a week.  Tuition assistance is available to those who qualify.,,"3301 Thorndale Rd, Pasadena, CA 91107",,(626) 449-7694,,,info@bgcpasadena.org,,,www.bgcpasadena.org,,,after school programs,34.1404814,-118.0830613
00000019,Boys & Girls Club of Pasadena-Mackenzie-Scott Branch,After–School Programs,,"2020 N Fair Oaks Ave, Pasadena, CA 91103",,(626) 798-3925,,,info@bgcpasadena.org,,,www.bgcpasadena.org,,,after school programs,34.180037,-118.1503365
00000020,Boys & Girls Club of Pasadena-Slavik Branch,After–School Programs,,"3230 E Del Mar Blvd, Pasadena, CA 91107",,(626) 449-9100,,,info@bgcpasadena.org,,,www.bgcpasadena.org,,,after school programs,34.1415406,-118.0834457
