name,address,phone1,phone2,categories,lat,lon
"A Sight for Sport Eyes","671 Eagle Road, Chandler, AZ 85224",626-555-1234,,"food stamps",33.3272049,-111.77585650000003
"A Winestore On The Internet","185 Route 29, Gettysburg, PA 17325",,818-555-4321,"thrift stores",39.821014,-77.2339609
"AAA Watch Connection","485 Jefferson Street, Perkasie, PA 18944",626-555-1234,,"social security",40.36959239999999,-75.31017509999998
"ABC Dance","686 Schoolhouse Lane, Painesville, OH 44077",,818-555-4321,"financial aid",41.68389380000001,-81.22985299999999
"Abercrombie & Fich","597 Highland Drive, New Windsor, NY 12553",626-555-1234,,"funeral services",41.4883447,-74.22000650000001
"Aberdeen","870 Ridge Street, Baldwin, NY 11510",,818-555-4321,"medicare",40.6800095,-73.5691051
"Abracadabra Maternity Shop","119 Riverside Drive, Chillicothe, OH 45601",626-555-1234,,"thrift stores",39.3376638,-82.98003640000002
"ABSCO Fireplace & Patio","467 Roberts Road, Tuscaloosa, AL 35405",,818-555-4321,"thrift stores",32.8356599,-87.88936920000003
"AC Lens","905 Adams Street, Garfield, NJ 07026",626-555-1234,,"employment",40.889973,-74.16308700000002
"Acadia Wreath Co.","326 Laurel Lane, Muskogee, OK 74403",,818-555-4321,"shelters",35.669371,-95.26844369999998
"Ace Wigs","451 Park Street, Forney, TX 75126",626-555-1234,,"housing help",32.7453689,-96.46202640000001
"Acme Bros.","466 Eagle Street, East Brunswick, NJ 08816",,818-555-4321,"thrift stores",40.4516644,-74.41496189999998
"Acou-Stik","659 Queen Street, Syosset, NY 11791",626-555-1234,,"shelters",40.8250781,-73.50398640000003
"Act II Books and Puppets","784 Division Street, Stockbridge, GA 30281",,818-555-4321,"social security",33.5442781,-84.23380929999996
"Action Electronics","513 Canal Street, Campbell, CA 95008",626-555-1234,,"thrift stores",45.1275017,-66.83163109999998
"Action FigureXpress","589 Willow Avenue, Reynoldsburg, OH 43068",,818-555-4321,"social security",39.9461869,-82.75063940000001
"Activa Products","487 Canal Street, Owosso, MI 48867",626-555-1234,,"food stamps",42.9978049,-84.17663579999999
"Ad In Apparel","156 Clinton Street, Lake Zurich, IL 60047",,818-555-4321,"shelters",42.2040865,-87.97990240000001
"Advanced Battery Systems","217 York Road, Aliquippa, PA 15001",626-555-1234,,"food stamps",40.6663794,-80.31151539999996
"Advanced Furniture Outfitters","511 Parker Street, Middle Village, NY 11379",,818-555-4321,"employment",40.83811499999999,-73.850011
"Advantage Tube Services","663 Belmont Avenue, Troy, NY 12180",626-555-1234,,"medicare",42.6913273,-73.63957249999999
"Aeries Enterprises","724 Madison Avenue, Cottage Grove, MN 55016",,818-555-4321,"employment",44.7513248,-92.88026309999998
"AFE Cosmetics & Skincare","907 Clay Street, Deltona, FL 32725",626-555-1234,,"social security",28.8866699,-81.22065069999996
"AFW","337 Heritage Drive, Natick, MA 01760",,818-555-4321,"housing help",42.2921072,-71.35968839999998
"Agee's","81 Harrison Avenue, Easley, SC 29640",626-555-1234,,"thrift stores",34.7582457,-82.4958105
"Aggressive Skate & Snowboard","579 Maple Lane, Morganton, NC 28655",,818-555-4321,"shelters",35.7481927,-81.6713378
"Aitken & Niven","66 Beech Street, Waterbury, CT 06705",626-555-1234,,"medicare",41.56039,-73.02342799999997
"Alafia Publishing","158 West Street, Enterprise, AL 36330",,818-555-4321,"thrift stores",31.376295,-85.86896300000001
"Albuquerque Hydroponics And Lighting","342 Church Street, Sandusky, OH 44870",626-555-1234,,"medicare",41.4453595,-82.77245599999998
"Alden Shoes","515 Canterbury Court, Muskegon, MI 49441",,818-555-4321,"funeral services",43.1965868,-86.21024560000001
"Alden Shop","878 Williams Street, New Lenox, IL 60451",626-555-1234,,"financial aid",41.5069209,-87.95245640000002
"AlexBlake.com","712 Devon Court, Vincentown, NJ 08088",,818-555-4321,"funeral services",39.9319279,-74.74833710000001
"All About Books & Comics","249 Glenwood Drive, Hyde Park, MA 02136",626-555-1234,,"medicare",42.24491159999999,-71.12209289999998
"All Seasons Uniforms","608 Fawn Lane, Duarte, CA 91010",,818-555-4321,"employment",34.1394513,-117.9772873
"Alloy","462 Willow Drive, Brick, NJ 08723",626-555-1234,,"thrift stores",40.0949673,-74.10460760000001
"allstar","823 Cleveland Street, Goshen, IN 46526",,818-555-4321,"social security",41.6629527,-86.0676853
"Alltronics","502 Redwood Drive, Elgin, IL 60120",626-555-1234,,"employment",42.03528559999999,-88.2558525
"Alpha Industries","616 Washington Avenue, Bel Air, MD 21014",,818-555-4321,"medicare",39.5059649,-76.17691919999999
"Altivo","893 Queen Street, Methuen, MA 01844",626-555-1234,,"employment",42.7281355,-71.16374289999999
"Aman Software","279 Bridge Street, Sarasota, FL 34231",,818-555-4321,"housing help",27.365089,-82.48587800000001
"Amazon.com","890 Sheffield Drive, Cedar Rapids, IA 52402",626-555-1234,,"financial aid",42.0561905,-91.6434797
"AMDEX","312 Lexington Drive, Passaic, NJ 07055",,818-555-4321,"thrift stores",40.87238800000001,-74.12936300000001
"America Lens","611 Williams Street, Port Charlotte, FL 33952",626-555-1234,,"financial aid",26.928031,-82.05326639999998
"American Airless","825 East Avenue, East Meadow, NY 11554",,818-555-4321,"employment",40.7065061,-73.5494392
"American Dream","737 5th Avenue, Edison, NJ 08817",626-555-1234,,"shelters",40.5074043,-74.4280521
"American Fencers Supply Co.","197 13th Street, Carmel, NY 10512",,818-555-4321,"shelters",41.4300937,-73.68012970000001
"American Fireworks Company","998 B Street, Nashville, TN 37205",626-555-1234,,"medicare",36.1888505,-86.77315479999999
"American Flag & Banner Co.","311 Riverside Drive, Houston, TX 77016",,818-555-4321,"thrift stores",29.7163108,-95.37653260000002
"America's Florist","636 Buttonwood Drive, Erie, PA 16506",626-555-1234,,"employment",42.0591155,-80.15402259999996
"AmeriLens.com","666 King Street, Rockaway, NJ 07866",,818-555-4321,"thrift stores",40.90523,-74.527718
"Ames Walker International Inc.","808 Vine Street, Casselberry, FL 32707",626-555-1234,,"social security",28.6477272,-81.26271859999997
"Amtronix","321 Fieldstone Drive, Twin Falls, ID 83301",,818-555-4321,"social security",42.5868791,-114.50017209999999
"Anaconda Sports","505 Creekside Drive, Osseo, MN 55311",626-555-1234,,"shelters",45.1527813,-93.47733019999998
"Analytical Instrument Recycle","147 Valley Road, Vicksburg, MS 39180",,818-555-4321,"shelters",32.3304828,-90.88491299999998
"Angela's Florit & Christmas Shoppe","755 Route 5, Cottage Grove, MN 55016",626-555-1234,,"shelters",44.7412634,-92.86484289999999
"Angel's Wigs","499 Strawberry Lane, North Haven, CT 06473",,818-555-4321,"social security",41.4678434,-72.66848820000001
"Animal Designs","998 Howard Street, Mentor, OH 44060",626-555-1234,,"employment",41.6661573,-81.33955200000003
"Animated Musical Greeting Card Store","992 Broad Street, Hamtramck, MI 48212",,818-555-4321,"shelters",42.3928151,-83.04964380000001
"Annies Costumes and Magic","913 Aspen Court, Mankato, MN 56001",626-555-1234,,"employment",44.1785526,-94.06392160000001
"Annie's Woolens","785 Orchard Lane, Mobile, AL 36605",,818-555-4321,"social security",30.7257935,-88.21164139999996
"Another Company","286 Spring Street, Bellmore, NY 11710",626-555-1234,,"medicare",40.7066352,-73.518847
"Antique & Vintage Dress Gallery","165 Holly Court, Billerica, MA 01821",,818-555-4321,"financial aid",42.57146609999999,-71.28769369999998
"Any Mountain Gear","401 Sycamore Drive, Mentor, OH 44060",626-555-1234,,"social security",41.6937974,-81.35942569999997
"Apexstores.com","41 Hickory Street, Chelmsford, MA 01824",,818-555-4321,"food stamps",42.5907765,-71.33142950000001
"Applesonline","766 Circle Drive, Hudson, NH 03051",626-555-1234,,"financial aid",42.7999836,-71.4277894
"Applesource","331 Tanglewood Drive, Fresh Meadows, NY 11365",,818-555-4321,"funeral services",40.7335179,-73.7801447
"AppliancePartsPros.com","821 Walnut Street, Revere, MA 02151",626-555-1234,,"funeral services",42.4066935,-70.9972343
"Aqua Pools","103 Franklin Street, Faribault, MN 55021",,818-555-4321,"financial aid",44.2984212,-93.28744990000001
"AquaBells","207 Clay Street, Bountiful, UT 84010",626-555-1234,,"employment",40.8893895,-111.88077099999998
"Aquarium Instruments","94 Grove Street, Jamestown, NY 14701",,818-555-4321,"housing help",37.2754049,-76.68803330000003
"Aquatic Connection","195 Bridle Court, Minneapolis, MN 55406",626-555-1234,,"funeral services",44.9406559,-93.22317269999996
"Aquatic Technology","205 Jackson Street, North Tonawanda, NY 14120",,818-555-4321,"employment",43.05493,-78.88199889999999
"Arcaro's Saddlery","831 Devonshire Drive, Largo, FL 33771",626-555-1234,,"funeral services",27.9046811,-82.7616822
"Arcata Pet","540 Marshall Street, Sunnyside, NY 11104",,818-555-4321,"thrift stores",41.3247086,-73.0510051
"Arch Angels","578 Monroe Street, Ridgewood, NJ 07450",626-555-1234,,"financial aid",40.9978479,-74.12909430000002
"Arizona Specialty Woodcrafts","415 Rosewood Drive, State College, PA 16801",,818-555-4321,"shelters",40.8170784,-77.48675609999998
"Arizona Sun Products","134 Court Street, Ocean Springs, MS 39564",626-555-1234,,"funeral services",30.4113097,-88.8278057
"Armstrong's Cricket Farm","358 High Street, Redondo Beach, CA 90278",,818-555-4321,"medicare",33.8601603,-118.36716060000003
"Aromaland Inc.","576 Shady Lane, Basking Ridge, NJ 07920",626-555-1234,,"medicare",40.711378,-74.55527000000001
"ARSIS Audio","150 4th Street North, West Des Moines, IA 50265",,818-555-4321,"financial aid",41.57002629999999,-93.70752499999998
"Artistic Checks Inc.","195 Jackson Street, Brentwood, NY 11717",626-555-1234,,"housing help",40.78787699999999,-73.25374099999999
